Algo,n,Case,Time,Comparisons
Quick_First,5000,Worst,8539.920000000002,12497500.0
Quick_First,6000,Best,11388.86,17997000.0
Quick_First,6000,Random,422.02000019999997,87992.4
Quick_First,6000,Worst,11974.1200002,17997000.0
Quick_First,7000,Best,16335.7800002,24496500.0
Quick_First,7000,Random,453.26000000000005,104390.2
Quick_First,7000,Worst,16478.2599996,24496500.0
Quick_First,8000,Best,21191.7600002,31996000.0
Quick_First,8000,Random,534.0200000000001,122533.8
Quick_First,8000,Worst,21221.9199996,31996000.0
Quick_First,10000,Best,32913.0200004,49995000.0
Quick_First,10000,Random,662.9399999999999,158455.2
Quick_First,10000,Worst,34257.7,49995000.0
Quick_Median,1000,Best,20.44,7987.0
Quick_Median,1000,Random,78.4200002,9081.4
Quick_Median,1000,Worst,110.8599998,125749.0
Quick_Median,2000,Best,24.84,17964.0
Quick_Median,2000,Random,127.94000000000001,21059.0
Quick_Median,2000,Worst,365.74,501499.0
Quick_Median,3000,Best,43.6999998,28917.0
Quick_Median,3000,Random,194.94,33150.6
Quick_Median,3000,Worst,766.22,1127249.0
Quick_Median,4000,Best,53.4999998,39917.0
Quick_Median,4000,Random,262.65999980000004,46656.6
Quick_Median,4000,Worst,1447.9800004,2002999.0
Quick_Median,5000,Best,74.46000000000001,51822.0
Quick_Median,5000,Random,333.9400002,61490.0
Quick_Median,5000,Worst,2326.7400000000002,3128749.0
Quick_Median,6000,Best,87.17999999999999,63822.0
Quick_Median,6000,Random,391.02,74854.6
Quick_Median,6000,Worst,2926.1999998,4504499.0
Quick_Median,7000,Best,106.4600002,75822.0
Quick_Median,7000,Random,483.90000019999997,87101.2
Quick_Median,7000,Worst,4062.9199997999995,6130249.0
Quick_Median,8000,Best,120.33999979999999,87822.0
Quick_Median,8000,Random,980.5199998,104680.2
Quick_Median,8000,Worst,5298.08,8005999.0
Quick_Median,10000,Best,163.3799998,113631.0
Quick_Median,10000,Random,679.7399998,130409.6
Quick_Median,10000,Worst,8787.1,12507499.0
Quick_Random,1000,Best,41.4199998,10886.6
Quick_Random,1000,Random,86.52000000000001,10439.2
Quick_Random,1000,Worst,35.9000002,10641.2
Quick_Random,2000,Best,65.0600004,25375.4
Quick_Random,2000,Random,126.9,24385.8
Quick_Random,2000,Worst,63.17999999999999,25387.0
Quick_Random,3000,Best,101.88,39253.2
Quick_Random,3000,Random,198.84,38089.4
Quick_Random,3000,Worst,103.03999939999999,40682.2
Quick_Random,4000,Best,135.4200004,54202.4
Quick_Random,4000,Random,276.7400002,54749.4
Quick_Random,4000,Worst,139.32,54930.0
Quick_Random,5000,Best,168.76,72908.2
Quick_Random,5000,Random,351.3600004,71981.4
Quick_Random,5000,Worst,207.16,70570.4
Quick_Random,6000,Best,188.6199994,87334.4
Quick_Random,6000,Random,411.9800002,85127.6
Quick_Random,6000,Worst,197.9599996,88758.0
Quick_Random,7000,Best,247.7199998,101779.6
Quick_Random,7000,Random,487.26000020000004,108757.6
Quick_Random,7000,Worst,250.0799998,103459.8
Quick_Random,8000,Best,263.1999998,120938.2
Quick_Random,8000,Random,591.8,123442.4
Quick_Random,8000,Worst,345.4,121411.8
Quick_Random,10000,Best,351.2,156973.4
Quick_Random,10000,Random,731.6599997999999,153454.2
Quick_Random,10000,Worst,426.9800002,150683.8
Radix,1000,Best,39.6999998,0.0
Radix,1000,Random,51.5000004,0.0
Radix,1000,Worst,33.8600002,0.0
Radix,2000,Best,64.62,0.0
Radix,2000,Random,89.4000002,0.0
Radix,2000,Worst,63.1600002,0.0
Radix,3000,Best,94.8200004,0.0
Radix,3000,Random,116.3999998,0.0
Radix,3000,Worst,92.0599998,0.0
Radix,4000,Best,126.44000000000001,0.0
Radix,4000,Random,152.7400004,0.0
Radix,4000,Worst,119.1200002,0.0
Radix,5000,Best,158.05999979999999,0.0
Radix,5000,Random,198.9999998,0.0
Radix,5000,Worst,163.9400002,0.0
Radix,6000,Best,202.4,0.0
Radix,6000,Random,231.1599998,0.0
Radix,6000,Worst,179.2200004,0.0
Radix,7000,Best,227.9600006,0.0
Radix,7000,Random,265.02,0.0
Radix,7000,Worst,216.32,0.0
Radix,8000,Best,238.45999999999998,0.0
Radix,8000,Random,295.1399998,0.0
Radix,8000,Worst,235.45999999999998,0.0
Radix,10000,Best,387.3799998,0.0
Radix,10000,Random,368.8,0.0
Radix,10000,Worst,377.0400002,0.0
Selection,1000,Best,598.1999998,499500.0
Selection,1000,Random,688.2800002,499500.0
Selection,1000,Worst,651.5199998,499500.0
Selection,2000,Best,1698.3599998000002,1999000.0
Selection,2000,Random,1970.6200000000001,1999000.0
Selection,2000,Worst,1805.9999996,1999000.0
Selection,3000,Best,3744.7800002000004,4498500.0
Selection,3000,Random,3989.34,4498500.0
Selection,3000,Worst,4039.5800002000005,4498500.0
Selection,4000,Best,6697.32,7998000.0
Selection,4000,Random,7144.860000000001,7998000.0
Selection,4000,Worst,7298.7000002,7998000.0
Selection,5000,Best,10460.040000199999,12497500.0
Selection,5000,Random,11253.880000399999,12497500.0
Selection,5000,Worst,11267.6,12497500.0
Selection,6000,Best,14746.240000200001,17997000.0
Selection,6000,Random,15541.6199998,17997000.0
Selection,6000,Worst,15918.820000000002,17997000.0
Selection,7000,Best,20699.9399996,24496500.0
Selection,7000,Random,21621.0800002,24496500.0
Selection,7000,Worst,21471.02,24496500.0
Selection,8000,Best,26727.500000400003,31996000.0
Selection,8000,Random,27341.2800002,31996000.0
Selection,8000,Worst,28111.6199998,31996000.0
Selection,10000,Best,42206.72,49995000.0
Selection,10000,Random,42122.0999998,49995000.0
Selection,10000,Worst,43440.159999999996,49995000.0
