Algorithm,n,InputType,TimeMicroseconds,Comparisons
Insertion,1000,Random,0.000000,254224
Selection,1000,Random,1000.000000,499500
Bubble,1000,Random,1000.000000,499500
Merge,1000,Random,0.000000,8713
Quick_First,1000,Random,1000.000000,15849
Quick_Random,1000,Random,0.000000,15023
Quick_Median,1000,Random,0.000000,14187
Heap,1000,Random,0.000000,16805
Radix,1000,Random,0.000000,0
Insertion,1000,Sorted,0.000000,999
Selection,1000,Sorted,2000.000000,499500
Bubble,1000,Sorted,1000.000000,499500
Merge,1000,Sorted,0.000000,5044
Quick_First,1000,Sorted,2000.000000,500499
Quick_Random,1000,Sorted,0.000000,11584
Quick_Median,1000,Sorted,0.000000,8986
Heap,1000,Sorted,0.000000,17583
Radix,1000,Sorted,0.000000,0
Insertion,1000,Reverse,1000.000000,499500
Selection,1000,Reverse,2000.000000,499500
Bubble,1000,Reverse,1000.000000,499500
Merge,1000,Reverse,0.000000,4932
Quick_First,1000,Reverse,1000.000000,500499
Quick_Random,1000,Reverse,0.000000,13824
Quick_Median,1000,Reverse,1000.000000,127746
Heap,1000,Reverse,0.000000,15965
Radix,1000,Reverse,0.000000,0
Insertion,2000,Random,2000.000000,1008421
Selection,2000,Random,3000.000000,1999000
Bubble,2000,Random,4000.000000,1999000
Merge,2000,Random,1000.000000,19404
Quick_First,2000,Random,0.000000,33506
Quick_Random,2000,Random,0.000000,34099
Quick_Median,2000,Random,0.000000,31288
Heap,2000,Random,0.000000,37679
Radix,2000,Random,0.000000,0
Insertion,2000,Sorted,0.000000,1999
Selection,2000,Sorted,4000.000000,1999000
Bubble,2000,Sorted,3000.000000,1999000
Merge,2000,Sorted,0.000000,11088
Quick_First,2000,Sorted,3000.000000,2000999
Quick_Random,2000,Sorted,0.000000,26205
Quick_Median,2000,Sorted,0.000000,19963
Heap,2000,Sorted,0.000000,39159
Radix,2000,Sorted,0.000000,0
Insertion,2000,Reverse,4000.000000,1999000
Selection,2000,Reverse,3000.000000,1999000
Bubble,2000,Reverse,4000.000000,1999000
Merge,2000,Reverse,0.000000,10864
Quick_First,2000,Reverse,3000.000000,2000999
Quick_Random,2000,Reverse,0.000000,28584
Quick_Median,2000,Reverse,1000.000000,505496
Heap,2000,Reverse,0.000000,35964
Radix,2000,Reverse,0.000000,0
Insertion,3000,Random,4000.000000,2258189
Selection,3000,Random,6000.000000,4498500
Bubble,3000,Random,9000.000000,4498500
Merge,3000,Random,0.000000,30961
Quick_First,3000,Random,0.000000,57675
Quick_Random,3000,Random,0.000000,56273
Quick_Median,3000,Random,1000.000000,51410
Heap,3000,Random,0.000000,60227
Radix,3000,Random,0.000000,0
Insertion,3000,Sorted,0.000000,2999
Selection,3000,Sorted,7000.000000,4498500
Bubble,3000,Sorted,7000.000000,4498500
Merge,3000,Sorted,0.000000,18076
Quick_First,3000,Sorted,7000.000000,4501499
Quick_Random,3000,Sorted,0.000000,42519
Quick_Median,3000,Sorted,0.000000,31916
Heap,3000,Sorted,1000.000000,62875
Radix,3000,Sorted,0.000000,0
Insertion,3000,Reverse,7000.000000,4498500
Selection,3000,Reverse,7000.000000,4498500
Bubble,3000,Reverse,9000.000000,4498500
Merge,3000,Reverse,0.000000,16828
Quick_First,3000,Reverse,7000.000000,4501499
Quick_Random,3000,Reverse,0.000000,43600
Quick_Median,3000,Reverse,2000.000000,1133246
Heap,3000,Reverse,0.000000,57537
Radix,3000,Reverse,0.000000,0
Insertion,4000,Random,7000.000000,4032572
Selection,4000,Random,12000.000000,7998000
Bubble,4000,Random,15000.000000,7998000
Merge,4000,Random,0.000000,42858
Quick_First,4000,Random,1000.000000,73779
Quick_Random,4000,Random,0.000000,76919
Quick_Median,4000,Random,0.000000,71854
Heap,4000,Random,0.000000,83493
Radix,4000,Random,1000.000000,0
Insertion,4000,Sorted,0.000000,3999
Selection,4000,Sorted,12000.000000,7998000
Bubble,4000,Sorted,12000.000000,7998000
Merge,4000,Sorted,0.000000,24176
Quick_First,4000,Sorted,13000.000000,8001999
Quick_Random,4000,Sorted,0.000000,57873
Quick_Median,4000,Sorted,0.000000,43916
Heap,4000,Sorted,0.000000,86576
Radix,4000,Sorted,0.000000,0
Insertion,4000,Reverse,14000.000000,7998000
Selection,4000,Reverse,12000.000000,7998000
Bubble,4000,Reverse,15000.000000,7998000
Merge,4000,Reverse,0.000000,23728
Quick_First,4000,Reverse,12000.000000,8001999
Quick_Random,4000,Reverse,0.000000,58790
Quick_Median,4000,Reverse,3000.000000,2010996
Heap,4000,Reverse,1000.000000,80151
Radix,4000,Reverse,0.000000,0
Insertion,5000,Random,10000.000000,6128330
Selection,5000,Random,19000.000000,12497500
Bubble,5000,Random,23000.000000,12497500
Merge,5000,Random,1000.000000,55225
Quick_First,5000,Random,0.000000,97327
Quick_Random,5000,Random,0.000000,96093
Quick_Median,5000,Random,1000.000000,91142
Heap,5000,Random,0.000000,107757
Radix,5000,Random,0.000000,0
Insertion,5000,Sorted,0.000000,4999
Selection,5000,Sorted,20000.000000,12497500
Bubble,5000,Sorted,20000.000000,12497500
Merge,5000,Sorted,0.000000,32004
Quick_First,5000,Sorted,19000.000000,12502499
Quick_Random,5000,Sorted,0.000000,85229
Quick_Median,5000,Sorted,0.000000,56821
Heap,5000,Sorted,0.000000,112126
Radix,5000,Sorted,1000.000000,0
Insertion,5000,Reverse,21000.000000,12497500
Selection,5000,Reverse,19000.000000,12497500
Bubble,5000,Reverse,24000.000000,12497500
Merge,5000,Reverse,0.000000,29804
Quick_First,5000,Reverse,18000.000000,12502499
Quick_Random,5000,Reverse,0.000000,86785
Quick_Median,5000,Reverse,5000.000000,3138746
Heap,5000,Reverse,0.000000,103227
Radix,5000,Reverse,1000.000000,0
Insertion,6000,Random,14000.000000,8957635
Selection,6000,Random,27000.000000,17997000
Bubble,6000,Random,33000.000000,17997000
Merge,6000,Random,1000.000000,67846
Quick_First,6000,Random,0.000000,119071
Quick_Random,6000,Random,0.000000,134549
Quick_Median,6000,Random,1000.000000,112458
