Algo,n,Case,Time,Comparisons
Quick_Median,4000,Best,53.099999,39917
Insertion,4000,Worst,8848.099999,8001999
Selection,4000,Worst,6758.500000,7998000
Bubble,4000,Worst,16775.599999,7998000
Merge,4000,Worst,342.100000,23728
Heap,4000,Worst,293.000000,80151
Radix,4000,Worst,103.500000,0
Quick_First,4000,Worst,5075.200000,7998000
Quick_Random,4000,Worst,121.000000,55687
Quick_Median,4000,Worst,1600.700000,2002999
Insertion,5000,Random,6887.599999,6258099
Selection,5000,Random,10639.000000,12497500
Bubble,5000,Random,23294.300000,12491059
Merge,5000,Random,731.500000,55222
Heap,5000,Random,494.700000,107588
Radix,5000,Random,196.900000,0
Quick_First,5000,Random,318.700000,71616
Quick_Random,5000,Random,339.400001,72953
Quick_Median,5000,Random,328.700000,62089
Insertion,5000,Best,7.500000,4999
Selection,5000,Best,10410.500000,12497500
Bubble,5000,Best,4.900000,4999
Merge,5000,Best,440.200001,32004
Heap,5000,Best,410.400001,112126
Radix,5000,Best,154.300000,0
Quick_First,5000,Best,8130.800000,12497500
Quick_Random,5000,Best,173.800000,79033
Quick_Median,5000,Best,93.100000,51822
Insertion,5000,Worst,14549.300000,12502499
Selection,5000,Worst,11464.500000,12497500
Bubble,5000,Worst,26396.200000,12497500
Merge,5000,Worst,468.100000,29804
Heap,5000,Worst,395.200000,103227
Radix,5000,Worst,162.000000,0
Quick_First,5000,Worst,8399.900000,12497500
Quick_Random,5000,Worst,182.000000,78501
Quick_Median,5000,Worst,2485.000000,3128749
Insertion,6000,Random,10769.500000,9155776
Selection,6000,Random,15861.100000,17997000
Bubble,6000,Random,34796.100000,17993084
Merge,6000,Random,907.100000,67842
Heap,6000,Random,595.200000,132361
Radix,6000,Random,216.600000,0
Quick_First,6000,Random,389.600000,81880
Quick_Random,6000,Random,404.400000,80630
Quick_Median,6000,Random,371.500000,74046
Insertion,6000,Best,8.200001,5999
Selection,6000,Best,14228.600000,17997000
Bubble,6000,Best,5.700000,5999
Merge,6000,Best,558.400001,39152
Heap,6000,Best,777.000000,137876
Radix,6000,Best,266.200000,0
Quick_First,6000,Best,11142.500000,17997000
Quick_Random,6000,Best,177.799999,90321
Quick_Median,6000,Best,75.000000,63822
Insertion,6000,Worst,20805.400000,18002999
Selection,6000,Worst,16101.700000,17997000
Bubble,6000,Worst,37730.400000,17997000
Merge,6000,Worst,566.500000,36656
Heap,6000,Worst,480.000000,126920
Radix,6000,Worst,164.400001,0
Quick_First,6000,Worst,11652.600000,17997000
Quick_Random,6000,Worst,183.099999,89938
Quick_Median,6000,Worst,2786.800000,4504499
Insertion,7000,Random,14225.299999,12399697
Selection,7000,Random,21462.300000,24496500
Bubble,7000,Random,46647.599999,24487184
Merge,7000,Random,959.299999,80674
Heap,7000,Random,787.600000,157442
Radix,7000,Random,275.700000,0
Quick_First,7000,Random,428.000000,108792
Quick_Random,7000,Random,480.200000,122546
Quick_Median,7000,Random,500.400001,83480
Insertion,7000,Best,10.100000,6999
Selection,7000,Best,19738.700000,24496500
Bubble,7000,Best,7.600000,6999
Merge,7000,Best,708.500000,46180
Heap,7000,Best,710.700000,163651
Radix,7000,Best,261.700001,0
Quick_First,7000,Best,15605.400001,24496500
Quick_Random,7000,Best,259.099999,105428
Quick_Median,7000,Best,113.700001,75822
Insertion,7000,Worst,28780.400000,24503499
Selection,7000,Worst,20876.200000,24496500
Bubble,7000,Worst,51593.800000,24496500
Merge,7000,Worst,621.200000,43628
Heap,7000,Worst,597.000000,151408
Radix,7000,Worst,226.299999,0
Quick_First,7000,Worst,15046.700001,24496500
Quick_Random,7000,Worst,267.099999,105699
Quick_Median,7000,Worst,3895.800000,6130249
Insertion,8000,Random,18120.099999,15917638
Selection,8000,Random,26979.900000,31996000
Bubble,8000,Random,59207.100000,31995439
Merge,8000,Random,1167.800000,93681
Heap,8000,Random,787.299999,182833
Radix,8000,Random,279.200000,0
Quick_First,8000,Random,458.200000,124267
Quick_Random,8000,Random,542.599999,122386
Quick_Median,8000,Random,512.100000,101175
Insertion,8000,Best,11.200000,7999
Selection,8000,Best,25961.700000,31996000
Bubble,8000,Best,7.700000,7999
Merge,8000,Best,712.400000,52352
Heap,8000,Best,680.300000,189377
Radix,8000,Best,235.500000,0
Quick_First,8000,Best,20044.200001,31996000
Quick_Random,8000,Best,238.000000,131414
Quick_Median,8000,Best,129.099999,87822
Insertion,8000,Worst,37177.100000,32003999
Selection,8000,Worst,27957.500000,31996000
Bubble,8000,Worst,66115.100000,31996000
Merge,8000,Worst,755.500000,51456
Heap,8000,Worst,893.800000,176057
Radix,8000,Worst,270.700000,0
Quick_First,8000,Worst,21379.700000,31996000
Quick_Random,8000,Worst,252.000000,121564
Quick_Median,8000,Worst,5218.200000,8005999
Insertion,10000,Random,28139.100000,24692476
Selection,10000,Random,42656.400000,49995000
Bubble,10000,Random,96876.400001,49989435
Merge,10000,Random,1554.900001,120432
Heap,10000,Random,1014.099999,235470
Radix,10000,Random,372.599999,0
Quick_First,10000,Random,654.100000,156684
Quick_Random,10000,Random,755.700000,149831
Quick_Median,10000,Random,657.299999,130485
Insertion,10000,Best,13.400000,9999
Selection,10000,Best,41152.000000,49995000
Bubble,10000,Best,10.099999,9999
Merge,10000,Best,992.700000,69008
Heap,10000,Best,908.200001,244460
Radix,10000,Best,382.900000,0
Quick_First,10000,Best,32817.700001,49995000
Quick_Random,10000,Best,338.800000,155858
Quick_Median,10000,Best,160.000000,113631
Insertion,10000,Worst,59518.900000,50004999
Selection,10000,Worst,42664.200000,49995000
Bubble,10000,Worst,106887.200000,49995000
Merge,10000,Worst,1026.200001,64608
Heap,10000,Worst,913.200000,226682
Radix,10000,Worst,400.500000,0
Quick_First,10000,Worst,34012.700001,49995000
Quick_Random,10000,Worst,680.700000,152136
Quick_Median,10000,Worst,10120.099999,12507499
