Algo,n,Case,Time,Comparisons
Insertion,1000,Random,839.200000,250998
Selection,1000,Random,1354.400001,499500
Bubble,1000,Random,3571.400000,499395
Merge,1000,Random,432.500000,8738
Heap,1000,Random,227.099999,16862
Radix,1000,Random,103.200001,0
Quick_First,1000,Random,162.099999,10933
Quick_Random,1000,Random,177.000000,9750
Quick_Median,1000,Random,155.100000,9256
Insertion,1000,Best,4.100000,999
Selection,1000,Best,1089.500000,499500
Bubble,1000,Best,2.600000,999
Merge,1000,Best,253.099999,5044
Heap,1000,Best,188.300000,17583
Radix,1000,Best,77.500000,0
Quick_First,1000,Best,937.200000,499500
Quick_Random,1000,Best,73.100000,10828
Quick_Median,1000,Best,46.000000,7987
Insertion,1000,Worst,1382.400000,500499
Selection,1000,Worst,1442.099999,499500
Bubble,1000,Worst,2181.200001,499500
Merge,1000,Worst,172.900000,4932
Heap,1000,Worst,106.000000,15965
Radix,1000,Worst,50.500000,0
Quick_First,1000,Worst,590.200000,499500
Quick_Random,1000,Worst,51.900000,9912
Quick_Median,1000,Worst,152.200000,125749
Insertion,2000,Random,1702.500000,986463
Selection,2000,Random,2334.800000,1999000
Bubble,2000,Random,4153.400001,1996299
Merge,2000,Random,258.600000,19429
Heap,2000,Random,160.900000,37697
Radix,2000,Random,66.400001,0
Quick_First,2000,Random,105.900000,24907
Quick_Random,2000,Random,117.300000,25193
Quick_Median,2000,Random,109.300000,22073
Insertion,2000,Best,2.800000,1999
Selection,2000,Best,1627.900001,1999000
Bubble,2000,Best,1.900000,1999
Merge,2000,Best,187.900000,11088
Heap,2000,Best,156.200000,39159
Radix,2000,Best,53.000000,0
Quick_First,2000,Best,1515.500000,1999000
Quick_Random,2000,Best,65.700000,26591
Quick_Median,2000,Best,23.400000,17964
Insertion,2000,Worst,2151.299999,2000999
Selection,2000,Worst,1642.800000,1999000
Bubble,2000,Worst,3911.000000,1999000
Merge,2000,Worst,175.300000,10864
Heap,2000,Worst,132.600000,35964
Radix,2000,Worst,53.500000,0
Quick_First,2000,Worst,1407.000000,1999000
Quick_Random,2000,Worst,59.000000,25571
Quick_Median,2000,Worst,301.500000,501499
Insertion,3000,Random,2535.400000,2268532
Selection,3000,Random,3785.000000,4498500
Bubble,3000,Random,8466.500000,4497324
Merge,3000,Random,393.200000,30938
Heap,3000,Random,273.600000,60243
Radix,3000,Random,107.200000,0
Quick_First,3000,Random,169.099999,40348
Quick_Random,3000,Random,199.000000,37030
Quick_Median,3000,Random,205.500000,33651
Insertion,3000,Best,4.299999,2999
Selection,3000,Best,3625.200000,4498500
Bubble,3000,Best,2.900000,2999
Merge,3000,Best,247.299999,18076
Heap,3000,Best,205.800000,62875
Radix,3000,Best,78.900001,0
Quick_First,3000,Best,2921.299999,4498500
Quick_Random,3000,Best,97.000000,39982
Quick_Median,3000,Best,46.300000,28917
Insertion,3000,Worst,5025.600000,4501499
Selection,3000,Worst,3932.400001,4498500
Bubble,3000,Worst,9232.099999,4498500
Merge,3000,Worst,275.500000,16828
Heap,3000,Worst,206.200001,57537
Radix,3000,Worst,85.099999,0
Quick_First,3000,Worst,3244.799999,4498500
Quick_Random,3000,Worst,100.799999,37637
Quick_Median,3000,Worst,719.100000,1127249
Insertion,4000,Random,4687.500000,4033354
Selection,4000,Random,7012.300000,7998000
Bubble,4000,Random,15783.299999,7989485
Merge,4000,Random,581.800000,42876
Heap,4000,Random,360.099999,83458
Radix,4000,Random,149.300000,0
Quick_First,4000,Random,264.400000,55511
Quick_Random,4000,Random,289.400000,54740
Quick_Median,4000,Random,261.000000,45835
Insertion,4000,Best,5.600000,3999
Selection,4000,Best,6417.900001,7998000
Bubble,4000,Best,3.900000,3999
Merge,4000,Best,357.800000,24176
Heap,4000,Best,302.500000,86576
Radix,4000,Best,117.300000,0
Quick_First,4000,Best,5411.600000,7998000
Quick_Random,4000,Best,123.600000,56798
