Algorithm,n,InputType,AvgTimeMicroseconds,AvgComparisons
Quick_Median,6000,Sorted,0,69821
Heap,6000,Sorted,400,137876
Radix,6000,Sorted,600,0
Insertion,6000,Reverse,29800,17997000
Selection,6000,Reverse,27400,17997000
Bubble,6000,Reverse,34600,17997000
Merge,6000,Reverse,200,36656
Quick_First,6000,Reverse,25800,18002999
Quick_Random,6000,Reverse,200,100179
Quick_Median,6000,Reverse,6600,4516496
Heap,6000,Reverse,200,126920
Radix,6000,Reverse,200,0
Insertion,7000,Random,20600,12272311.8
Selection,7000,Random,36800,24496500
Bubble,7000,Random,46200,24496500
Merge,7000,Random,1000,80667.4
Quick_First,7000,Random,200,143620.8
Quick_Random,7000,Random,600,145449.8
Quick_Median,7000,Random,400,130022.4
Heap,7000,Random,800,157536.6
Radix,7000,Random,200,0
Insertion,7000,Sorted,0,6999
Selection,7000,Sorted,39000,24496500
Bubble,7000,Sorted,38400,24496500
Merge,7000,Sorted,200,46180
Quick_First,7000,Sorted,39600,24503499
Quick_Random,7000,Sorted,0,108914.8
Quick_Median,7000,Sorted,0,82821
Heap,7000,Sorted,1000,163651
Radix,7000,Sorted,0,0
Insertion,7000,Reverse,43600,24496500
Selection,7000,Reverse,38800,24496500
Bubble,7000,Reverse,47800,24496500
Merge,7000,Reverse,400,43628
Quick_First,7000,Reverse,37000,24503499
Quick_Random,7000,Reverse,0,117192
Quick_Median,7000,Reverse,9200,6144246
Heap,7000,Reverse,600,151408
Radix,7000,Reverse,200,0
Insertion,8000,Random,27400,15999189
Selection,8000,Random,48800,31996000
Bubble,8000,Random,61400,31996000
Merge,8000,Random,1400,93635.8
Quick_First,8000,Random,0,172390.8
Quick_Random,8000,Random,800,167864.6
Quick_Median,8000,Random,200,156670.8
Heap,8000,Random,800,182843.2
Radix,8000,Random,200,0
Insertion,8000,Sorted,400,7999
Selection,8000,Sorted,51200,31996000
Bubble,8000,Sorted,51600,31996000
Merge,8000,Sorted,800,52352
Quick_First,8000,Sorted,51800,32003999
Quick_Random,8000,Sorted,0,129400.4
Quick_Median,8000,Sorted,0,95821
Heap,8000,Sorted,600,189377
Radix,8000,Sorted,200,0
Insertion,8000,Reverse,55200,31996000
Selection,8000,Reverse,53200,31996000
Bubble,8000,Reverse,62600,31996000
Merge,8000,Reverse,400,51456
Quick_First,8000,Reverse,46600,32003999
Quick_Random,8000,Reverse,200,135488.2
Quick_Median,8000,Reverse,12400,8021996
Heap,8000,Reverse,400,176057
Radix,8000,Reverse,200,0
Insertion,10000,Random,41400,25013035.2
Selection,10000,Random,74600,49995000
Bubble,10000,Random,97600,49995000
Merge,10000,Random,1400,120442.4
Quick_First,10000,Random,400,212298.4
Quick_Random,10000,Random,800,214030.6
Quick_Median,10000,Random,800,194623.8
Heap,10000,Random,1000,235363.8
Radix,10000,Random,200,0
Insertion,10000,Sorted,0,9999
Selection,10000,Sorted,78600,49995000
Bubble,10000,Sorted,77000,49995000
Merge,10000,Sorted,1000,69008
Quick_First,10000,Sorted,77200,50004999
Quick_Random,10000,Sorted,200,159309.8
Quick_Median,10000,Sorted,0,123630
Heap,10000,Sorted,1000,244460
Radix,10000,Sorted,400,0
Insertion,10000,Reverse,83000,49995000
Selection,10000,Reverse,76200,49995000
Bubble,10000,Reverse,96200,49995000
Merge,10000,Reverse,1000,64608
Quick_First,10000,Reverse,71800,50004999
Quick_Random,10000,Reverse,200,174727.6
Quick_Median,10000,Reverse,18200,12527496
Heap,10000,Reverse,800,226682
Radix,10000,Reverse,400,0
